,pressure,temperature,salinity
224,1229.6,3.59,34.57
225,1234.04,3.59,34.58
226,1239.01,3.59,34.59
227,1243.53,3.6,34.59
228,1248.12,3.6,34.59
229,1253.09,3.6,34.59
230,1257.57,3.6,34.59
231,1262.11,3.6,34.6
232,1267.11,3.6,34.61
233,1272.1,3.61,34.61
234,1277.06,3.62,34.62
235,1282.07,3.62,34.62
236,1287.01,3.63,34.62
237,1292.08,3.64,34.63
238,1296.6,3.65,34.63
239,1300.61,3.65,34.63
240,1304.05,3.65,34.64
241,1309.07,3.66,34.64
242,1314.07,3.67,34.64
243,1319.02,3.67,34.65
244,1324.06,3.68,34.65
245,1329.16,3.68,34.66
246,1334.14,3.69,34.66
247,1339.05,3.69,34.66
248,1344.09,3.69,34.67
249,1349.1,3.71,34.67
250,1354.04,3.71,34.67
251,1359.04,3.72,34.68
252,1364.04,3.73,34.68
253,1368.12,3.74,34.69
254,1373.1,3.74,34.69
255,1377.56,3.75,34.7
256,1382.09,3.76,34.7
257,1387.12,3.77,34.71
258,1392.14,3.8,34.72
259,1397.05,3.81,34.72
260,1402.08,3.82,34.73
261,1407.03,3.83,34.73
262,1412.08,3.83,34.74
263,1417.09,3.84,34.75
264,1421.62,3.85,34.75
265,1426.14,3.87,34.76
266,1431.13,3.89,34.77
267,1436.1,3.89,34.76
268,1441.13,3.9,34.77
269,1446.09,3.9,34.77
270,1451.12,3.89,34.78
271,1456.05,3.9,34.78
272,1461.05,3.91,34.78
273,1466.06,3.91,34.79
274,1471.08,3.92,34.79
275,1476.04,3.93,34.8
276,1481.04,3.93,34.8
277,1486.08,3.93,34.8
278,1491.08,3.94,34.8
279,1496.04,3.94,34.81
280,1501.07,3.96,34.82
281,1506.04,3.97,34.82
282,1511.07,3.97,34.82
283,1516.04,3.98,34.83
284,1521.1,3.99,34.83
285,1526.05,4.0,34.83
286,1531.05,4.01,34.83
287,1536.09,4.01,34.83
288,1541.0,4.02,34.83
289,1546.04,4.03,34.84
290,1550.16,4.03,34.84
291,1555.18,4.05,34.85
292,1560.05,4.05,34.85
293,1565.04,4.04,34.85
294,1570.1,4.02,34.84
295,1575.02,3.98,34.84
296,1580.08,3.97,34.85
297,1585.05,3.97,34.85
298,1590.02,3.96,34.85
299,1595.04,3.96,34.85
300,1600.07,3.96,34.85
301,1605.07,3.96,34.85
302,1610.1,3.97,34.85
303,1615.12,3.97,34.86
304,1620.08,3.97,34.85
305,1625.05,3.97,34.86
306,1629.09,3.98,34.86
307,1634.18,3.98,34.86
308,1639.03,3.98,34.87
309,1644.1,3.98,34.86
310,1649.08,3.98,34.87
311,1654.08,3.99,34.87
312,1659.02,3.99,34.88
313,1664.02,4.01,34.88
314,1669.05,4.02,34.88
315,1674.04,3.99,34.89
316,1679.06,3.99,34.89
317,1684.12,4.01,34.89
318,1689.08,4.02,34.89
319,1694.09,4.02,34.9
320,1699.04,4.03,34.9
321,1703.54,4.03,34.9
322,1708.08,4.03,34.9
323,1713.1,4.03,34.9
324,1718.05,4.03,34.91
325,1723.03,4.02,34.91
326,1728.07,4.02,34.91
327,1733.12,4.02,34.91
328,1738.05,4.0,34.91
329,1742.54,3.99,34.91
330,1747.04,3.98,34.92
331,1751.06,3.98,34.92
332,1755.55,3.98,34.92
333,1760.01,3.98,34.92
334,1764.56,3.99,34.93
335,1769.08,3.99,34.92
336,1774.16,3.98,34.93
337,1779.09,3.97,34.93
338,1783.58,3.97,34.93
339,1788.04,3.97,34.94
340,1793.04,3.97,34.94
341,1797.03,3.97,34.94
342,1802.14,3.96,34.94
343,1807.02,3.95,34.94
344,1811.54,3.95,34.94
345,1816.06,3.94,34.95
346,1821.07,3.94,34.95
347,1826.09,3.93,34.95
348,1831.09,3.93,34.95
349,1835.6,3.92,34.94
350,1840.12,3.92,34.95
